timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/01/21 17:01:57.778, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:01:58.784, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:01:59.784, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:00.785, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:01.785, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:02.785, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:03.785, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:04.785, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:05.785, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:06.786, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:07.786, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:08.786, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:09.786, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:10.786, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:11.786, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:12.787, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:13.787, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:14.787, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:15.787, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:16.787, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:17.788, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:18.788, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:19.788, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:20.788, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:21.788, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:22.789, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:23.789, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:24.789, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:25.789, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:26.789, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:27.790, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:28.790, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:29.790, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:30.790, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:31.790, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:32.790, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:33.791, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:34.791, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:35.791, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:36.791, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:37.791, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:38.792, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:39.792, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:40.792, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:41.792, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:42.792, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:43.792, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:44.792, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:45.793, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:46.793, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:47.793, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:48.793, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:49.793, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:50.793, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:51.794, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:52.794, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:53.794, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:54.794, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 17:02:55.795, 0, 0 %, 0 %, 1 MiB, 49140 MiB
