timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/01/19 14:53:48.162, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:53:49.168, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:53:50.168, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:53:51.168, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:53:52.169, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:53:53.169, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:53:54.169, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:53:55.169, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:53:56.169, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:53:57.169, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:53:58.170, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:53:59.170, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:54:00.170, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:54:01.170, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:54:02.170, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:54:03.170, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:54:04.171, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:54:05.171, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:54:06.171, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:54:07.171, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:54:08.171, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:54:09.171, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:54:10.172, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:54:11.172, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:54:12.172, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:54:13.172, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:54:14.172, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:54:15.172, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:54:16.173, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:54:17.173, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:54:18.173, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:54:19.173, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:54:20.173, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:54:21.173, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:54:22.174, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:54:23.174, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/19 14:54:24.174, 0, 0 %, 0 %, 1 MiB, 49140 MiB
