timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/01/19 14:59:12.503, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:13.509, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:14.509, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:15.510, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:16.510, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:17.510, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:18.510, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:19.510, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:20.510, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:21.511, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:22.511, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:23.511, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:24.511, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:25.511, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:26.511, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:27.512, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:28.512, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:29.512, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:30.512, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:31.512, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:32.513, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:33.513, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:34.513, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:35.513, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:36.513, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:37.514, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:38.514, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:39.514, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:40.514, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:41.514, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:42.514, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:43.515, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:44.515, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:45.515, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:46.515, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:47.515, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:48.516, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:49.516, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:50.516, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:51.516, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:52.516, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:53.517, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:54.517, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:55.517, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:56.517, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:57.517, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:58.518, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 14:59:59.518, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:00.518, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:01.518, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:02.518, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:03.519, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:04.519, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:05.519, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:06.519, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:07.519, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:08.520, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:09.520, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:10.520, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:11.520, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:12.520, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:13.520, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:14.521, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:15.521, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:16.521, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:17.521, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:18.521, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:19.521, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:20.522, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:21.522, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:22.522, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:23.522, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:24.522, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:25.523, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:26.523, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:27.523, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:28.523, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:29.523, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:30.523, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:31.524, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:32.524, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:33.524, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/19 15:00:34.524, 0, 0 %, 0 %, 1 MiB, 46068 MiB
