timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/01/25 16:43:24.336, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:25.343, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:26.343, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:27.343, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:28.343, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:29.343, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:30.344, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:31.344, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:32.344, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:33.344, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:34.344, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:35.344, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:36.344, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:37.344, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:38.344, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:39.344, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:40.345, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:41.345, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:42.345, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:43.345, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:44.345, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:45.345, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:46.345, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:47.346, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:48.346, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:49.346, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:50.346, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:51.346, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:52.346, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:53.346, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:54.347, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:55.347, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:56.347, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:57.347, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:58.347, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/25 16:43:59.348, 0, 0 %, 0 %, 1 MiB, 49140 MiB
