timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/01/21 00:16:23.752, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:24.757, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:25.757, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:26.757, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:27.757, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:28.757, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:29.758, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:30.758, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:31.758, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:32.758, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:33.758, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:34.758, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:35.759, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:36.759, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:37.759, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:38.759, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:39.759, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:40.760, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:41.760, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:42.760, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:43.760, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:44.760, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:45.761, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:46.761, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:47.761, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:48.761, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:49.761, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:50.761, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:51.762, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:52.762, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:53.762, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:54.762, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:55.762, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:56.762, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:57.762, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:58.763, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:16:59.763, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:17:00.763, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:17:01.763, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:17:02.763, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:17:03.763, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:17:04.763, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:17:05.764, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:17:06.764, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:17:07.764, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:17:08.764, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:17:09.764, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:17:10.764, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:17:11.764, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:17:12.765, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:17:13.765, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:17:14.765, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:17:15.765, 0, 0 %, 0 %, 1 MiB, 49140 MiB
2026/01/21 00:17:16.765, 0, 0 %, 0 %, 1 MiB, 49140 MiB
