timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/01/16 15:38:25.000, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:26.005, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:27.005, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:28.005, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:29.005, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:30.005, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:31.005, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:32.006, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:33.006, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:34.006, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:35.006, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:36.006, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:37.006, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:38.006, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:39.006, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:40.006, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:41.006, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:42.006, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:43.007, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:44.007, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:45.007, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:46.007, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:47.007, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:48.007, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:49.007, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:50.007, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:51.008, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:52.008, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:53.008, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:54.008, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:55.008, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:56.008, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:57.008, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:58.009, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:38:59.009, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/16 15:39:00.009, 0, 0 %, 0 %, 1 MiB, 46068 MiB
